title,category,anzsco_code,num_jobs_2024,median_pay_annual,outlook_pct,entry_education,url,outlook_pct_2025_actual,outlook_pct_ai
Chief Executives and Managing Directors,11-chief-executives-general-managers-and-legislator,1111,60200,,14,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,8
General Managers,11-chief-executives-general-managers-and-legislator,1112,67900,,14,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-2,-2
Legislators,11-chief-executives-general-managers-and-legislator,1113,2800,,11,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-4,0
Aquaculture Farmers,12-farmers-and-farm-managers,1211,2100,,18,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-5
Crop Farmers,12-farmers-and-farm-managers,1212,33400,,5,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-4,-8
Livestock Farmers,12-farmers-and-farm-managers,1213,69700,,1,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-8,-6
Mixed Crop and Livestock Farmers,12-farmers-and-farm-managers,1214,28000,,1,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-4
"Advertising, Public Relations and Sales Managers",13-specialist-managers,1311,166500,139204,18,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,3
Corporate Services Managers,13-specialist-managers,1321,23100,152464,22,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,1
Finance Managers,13-specialist-managers,1322,77400,151008,22,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Human Resource Managers,13-specialist-managers,1323,91700,143936,22,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,2
Policy and Planning Managers,13-specialist-managers,1324,39500,153140,20,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,4
Research and Development Managers,13-specialist-managers,1325,19500,150124,23,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,6
Construction Managers,13-specialist-managers,1331,134600,195052,22,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,5
Engineering Managers,13-specialist-managers,1332,33100,182988,16,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,3
"Importers, Exporters and Wholesalers",13-specialist-managers,1333,17700,95992,16,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-5,-4
Manufacturers,13-specialist-managers,1334,21900,,19,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-5,-7
Production Managers,13-specialist-managers,1335,64900,119496,17,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-3
"Supply, Distribution and Procurement Managers",13-specialist-managers,1336,58000,147368,16,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,1
