title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_pct_2025_actual,outlook_pct_ai,outlook_desc,employment_change,url
Chief Executives and Managing Directors,11-chief-executives-general-managers-and-legislato,chief-executives-and-managing-directors,1111,,,Bachelor degree or higher,,,60200,,14,4,8,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
General Managers,11-chief-executives-general-managers-and-legislato,general-managers,1112,,,Bachelor degree or higher,,,67900,,14,-2,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Legislators,11-chief-executives-general-managers-and-legislato,legislators,1113,,,Bachelor degree or higher,,,2800,,11,-4,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Aquaculture Farmers,12-farmers-and-farm-managers,aquaculture-farmers,1211,,,Bachelor degree or higher,,,2100,,18,0,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Crop Farmers,12-farmers-and-farm-managers,crop-farmers,1212,,,Bachelor degree or higher,,,33400,,5,-4,-8,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Livestock Farmers,12-farmers-and-farm-managers,livestock-farmers,1213,,,Bachelor degree or higher,,,69700,,1,-8,-6,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Mixed Crop and Livestock Farmers,12-farmers-and-farm-managers,mixed-crop-and-livestock-farmers,1214,,,Certificate III or IV,,,28000,,1,1,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Advertising, Public Relations and Sales Managers",13-specialist-managers,advertising-public-relations-and-sales-managers,1311,139204,,Bachelor degree or higher,,,166500,,18,1,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Corporate Services Managers,13-specialist-managers,corporate-services-managers,1321,152464,,Bachelor degree or higher,,,23100,,22,2,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Finance Managers,13-specialist-managers,finance-managers,1322,151008,,Bachelor degree or higher,,,77400,,22,3,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Human Resource Managers,13-specialist-managers,human-resource-managers,1323,143936,,Bachelor degree or higher,,,91700,,22,-1,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Policy and Planning Managers,13-specialist-managers,policy-and-planning-managers,1324,153140,,Bachelor degree or higher,,,39500,,20,5,4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Research and Development Managers,13-specialist-managers,research-and-development-managers,1325,150124,,Bachelor degree or higher,,,19500,,23,4,6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Construction Managers,13-specialist-managers,construction-managers,1331,195052,,Bachelor degree or higher,,,134600,,22,2,5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
